SampleID	Group	Color
S1	Control	#C1CDCD
S2	Control	#C1CDCD
S3	Control	#C1CDCD
S4	Control	#C1CDCD
S5	Control	#C1CDCD
S6	Control	#C1CDCD
S7	Control	#C1CDCD
S8	Control	#C1CDCD
S9	Control	#C1CDCD
S10	Control	#C1CDCD
S11	Control	#C1CDCD
S12	Control	#C1CDCD
S13	Control	#C1CDCD
S14	Control	#C1CDCD
S15	L.animalis	#2467C8
S16	L.animalis	#2467C8
S17	L.animalis	#2467C8
S18	L.animalis	#2467C8
S19	L.animalis	#2467C8
S20	L.animalis	#2467C8
S21	L.animalis	#2467C8
S22	L.animalis	#2467C8
S23	L.animalis	#2467C8
S24	L.animalis	#2467C8
S25	L.animalis	#2467C8
S26	L.animalis	#2467C8
S27	L.animalis	#2467C8
S28	L.animalis	#2467C8
S29	L.fermentum	#329A54
S30	L.fermentum	#329A54
S31	L.fermentum	#329A54
S32	L.fermentum	#329A54
S33	L.fermentum	#329A54
S34	L.fermentum	#329A54
S35	L.fermentum	#329A54
S36	L.fermentum	#329A54
S37	L.fermentum	#329A54
S38	L.fermentum	#329A54
S39	L.fermentum	#329A54
S40	L.fermentum	#329A54
S41	L.fermentum	#329A54
S42	L.fermentum	#329A54
S43	L.salvarius	#E4945E
S44	L.salvarius	#E4945E
S45	L.salvarius	#E4945E
S46	L.salvarius	#E4945E
S47	L.salvarius	#E4945E
S48	L.salvarius	#E4945E
S49	L.salvarius	#E4945E
S50	L.salvarius	#E4945E
S51	L.salvarius	#E4945E
S52	L.salvarius	#E4945E
S53	L.salvarius	#E4945E
S54	L.salvarius	#E4945E
S55	L.salvarius	#E4945E
S56	L.salvarius	#E4945E
S57	L.reuteri	#9A3254
S58	L.reuteri	#9A3254
S59	L.reuteri	#9A3254
S60	L.reuteri	#9A3254
S61	L.reuteri	#9A3254
S62	L.reuteri	#9A3254
S63	L.reuteri	#9A3254
S64	L.reuteri	#9A3254
S65	L.reuteri	#9A3254
S66	L.reuteri	#9A3254
S67	L.reuteri	#9A3254
S68	L.reuteri	#9A3254
S69	L.reuteri	#9A3254
S70	L.reuteri	#9A3254
