	chao1
S47	8666.7597471
S15	9656.91846523
S53	9291.56066946
S62	10393.8466077
S33	9554.20727273
S89	10528.8714426
S49	9650.94545455
S17	8770.42045455
S28	8650.05226481
S18	9754.13833529
S58	10354.8612593
S67	9148.78465063
S63	9472.18327974
S59	9681.61129944
S82	9924.67741935
S20	9895.46153846
S51	6745.27358491
S73	7468.92650919
S4	9602.72698073
S37	9102.00664452
S22	8578.78816568
S36	10030.2487709
S13	10451.8918919
S26	9985.1359116
S39	9566.06519559
S25	9403.81560284
S35	9241.19485294
S94	10680.5891089
S65	8494.78034682
S34	9736.396875
S81	9666.17485714
S77	7773.45248869
S43	10123.3647587
S7	9349.55681818
S2	9227.82793296
S55	9843.125
S54	6091.06315789
S23	9374.72
S9	9341.83809524
S21	8087.52538071
S69	9611.09756098
S32	9385.15384615
S42	9576.91872792
S30	8357.79545455
S71	7670.76470588
S92	10225.1839729
S56	8982.78426966
S44	9804.88501414
S50	9592.76791444
S97	9572.00333333
S46	8450.50714286
S68	9100.83728814
S83	9859.25
S76	9371.67419738
S24	9990.86099585
S95	8689.96508728
S1	8309.33053892
S40	8219.51219512
S38	9146.0
S3	6999.51445087
S8	9097.26587729
S64	10080.9111338
S29	9820.92247191
S48	9355.01074114
S6	8584.6353211
S72	9293.05945946
S78	10483.0175644
S11	8885.8494492
S31	9670.28997868
S91	10588.5839341
S14	9074.14196762
S5	8928.17095778
S70	10513.3870968
S45	10134.9787234
S75	9804.42857143
S79	10536.8894908
S27	9549.73707865
S61	11466.5580159
S86	9659.32090285
S52	9665.09415584
S74	8216.52586207
S80	8094.94316808
S10	9868.84446878
S98	9568.716
S87	10260.5605096
S41	8159.0
S84	8717.78881279
S57	8585.94273595
S60	10299.5139665
S90	9143.20408163
S96	8866.31746032
S16	9121.54094579
S12	8613.07665505
S66	9154.44776119
S85	9715.32004197
S93	7681.19471154
S88	9837.15995647
S19	7961.28387097
