	goods_coverage
S47	0.933249338541
S15	0.931074363896
S53	0.93128061237
S62	0.923223948766
S33	0.934405647416
S89	0.918743031969
S49	0.927033044
S17	0.936471629897
S28	0.931308710504
S18	0.928340490023
S58	0.926557630517
S67	0.933346402666
S63	0.928417202225
S59	0.930552495655
S82	0.923082958468
S20	0.931580217129
S51	0.957700791488
S73	0.942233009709
S4	0.926515442778
S37	0.924388063038
S22	0.931955871848
S36	0.920013731548
S13	0.919954642682
S26	0.925514894482
S39	0.931292630178
S25	0.921201782865
S35	0.935975755262
S94	0.918277793552
S65	0.932990370664
S34	0.926044039484
S81	0.926108503553
S77	0.945224615837
S43	0.929869263925
S7	0.929418335999
S2	0.928879141537
S55	0.927749376716
S54	0.953761836147
S23	0.928520114943
S9	0.933396908251
S21	0.940504276025
S69	0.927914148885
S32	0.935226181273
S42	0.930233720785
S30	0.93905640472
S71	0.942027516659
S92	0.92745073739
S56	0.930644621288
S44	0.931336032389
S50	0.924498945148
S97	0.926804735254
S46	0.937410107623
S68	0.931537484117
S83	0.923861566485
S76	0.928041639558
S24	0.920876137755
S95	0.932047068801
S1	0.939700201647
S40	0.93861074312
S38	0.929189936978
S3	0.95055718615
S8	0.93139808646
S64	0.927526819647
S29	0.926349449987
S48	0.926450421941
S6	0.936104141306
S72	0.932140578216
S78	0.925046298614
S11	0.933554229057
S31	0.932495741056
S91	0.918057663126
S14	0.933333333333
S5	0.930734379399
S70	0.918169099596
S45	0.925211455706
S75	0.926768628042
S79	0.918425798239
S27	0.930665357231
S61	0.914399319796
S86	0.922909738406
S52	0.928460420113
S74	0.932018032057
S80	0.937184895565
S10	0.922444650669
S98	0.921434787338
S87	0.926020408163
S41	0.936754795231
S84	0.929167459433
S57	0.933711593505
S60	0.92553455992
S90	0.928968325097
S96	0.934120955012
S16	0.932404772602
S12	0.933706315144
S66	0.92479038569
S85	0.916311529331
S93	0.93721531126
S88	0.917224294541
S19	0.939702684937
