	observed_species
S47	4971
S15	4955
S53	5216
S62	5692
S33	4909
S89	5711
S49	5355
S17	4560
S28	4804
S18	5038
S58	5425
S67	4913
S63	5218
S59	5136
S82	5276
S20	4987
S51	3739
S73	4116
S4	5204
S37	5049
S22	4666
S36	5521
S13	5625
S26	5234
S39	5376
S25	5250
S35	4832
S94	5720
S65	4767
S34	5291
S81	5130
S77	4008
S43	5258
S7	4960
S2	5084
S55	5332
S54	3260
S23	4941
S9	4552
S21	4370
S69	5230
S32	5186
S42	4991
S30	4464
S71	4173
S92	5392
S56	4910
S44	5655
S50	5211
S97	5099
S46	4660
S68	5002
S83	5228
S76	4828
S24	5408
S95	4593
S1	4622
S40	4543
S38	5000
S3	3899
S8	5061
S64	5446
S29	5166
S48	5179
S6	4793
S72	5162
S78	5233
S11	4664
S31	5333
S91	5539
S14	4680
S5	5159
S70	5515
S45	5504
S75	5307
S79	5413
S27	5071
S61	6279
S86	5408
S52	5259
S74	4543
S80	4491
S10	5185
S98	5397
S87	5434
S41	4499
S84	4843
S57	4956
S60	5290
S90	5012
S96	5093
S16	4894
S12	4704
S66	4999
S85	5225
S93	4344
S88	5241
S19	4293
