	shannon
S47	8.79260114012
S15	7.91658415547
S53	8.70100335355
S62	9.30209230654
S33	7.97013736219
S89	9.32615886713
S49	8.65673958599
S17	7.14653504684
S28	8.64248078395
S18	8.33031784861
S58	8.91895804245
S67	8.57545114594
S63	8.82931889185
S59	8.69296362867
S82	8.77347271486
S20	8.32755587808
S51	7.62991350202
S73	7.09037092143
S4	8.30679297179
S37	8.87789959856
S22	8.36192696951
S36	9.02475032794
S13	8.97405969488
S26	8.35691822129
S39	8.8732075151
S25	8.79016693291
S35	8.06152994951
S94	9.24878899019
S65	8.53390433724
S34	8.80539013703
S81	8.90206709664
S77	7.0535028834
S43	8.81115959778
S7	8.24865191557
S2	8.77376235201
S55	9.09469026152
S54	6.43833896928
S23	8.17958826895
S9	7.42567673566
S21	7.60271976997
S69	8.90681310597
S32	8.72960107338
S42	8.51491523087
S30	7.53258768702
S71	7.20641945503
S92	8.90350585678
S56	8.61579414288
S44	9.25370535286
S50	8.95972136327
S97	8.54390593765
S46	8.21314314591
S68	8.83260114567
S83	8.91510331137
S76	8.08668853888
S24	9.00631499792
S95	8.09678220923
S1	7.34249683369
S40	8.2520277751
S38	8.45498404606
S3	6.65234279104
S8	8.70406789034
S64	8.92682770953
S29	8.61153236536
S48	9.06337279039
S6	8.1301772643
S72	8.67967741901
S78	8.70374741093
S11	8.12442092331
S31	8.94312508236
S91	8.9961415467
S14	7.85136060112
S5	8.7991341049
S70	9.22501977585
S45	9.04688682486
S75	8.72425511688
S79	9.00800428079
S27	7.94411661476
S61	9.64569973501
S86	8.82204750425
S52	8.83067001772
S74	8.26007696991
S80	8.10677983674
S10	8.42877631562
S98	9.09824443732
S87	8.79012447616
S41	8.31855990685
S84	8.4299624762
S57	8.78443434968
S60	8.84951789829
S90	8.44424399495
S96	8.34770040315
S16	8.27898576961
S12	7.70077177536
S66	9.02183594678
S85	8.70079465312
S93	7.86960922832
S88	9.13980050656
S19	7.39148615223
