	simpson
S47	0.987086294363
S15	0.938329689487
S53	0.980279674953
S62	0.98943607789
S33	0.950979348179
S89	0.989622644827
S49	0.975819672493
S17	0.891506801839
S28	0.98531479793
S18	0.964925297382
S58	0.984531019357
S67	0.983485597882
S63	0.983176084421
S59	0.981913586398
S82	0.983235467023
S20	0.974445323256
S51	0.9741213328
S73	0.904579807193
S4	0.951724816454
S37	0.982131281616
S22	0.97723782663
S36	0.984220555151
S13	0.98299333637
S26	0.964758081366
S39	0.981535434968
S25	0.980160432424
S35	0.964848189288
S94	0.988891489841
S65	0.977576222786
S34	0.984781456927
S81	0.988278701631
S77	0.909429678147
S43	0.983425497735
S7	0.960058192276
S2	0.980123271395
S55	0.987849822346
S54	0.903874974132
S23	0.966155923329
S9	0.931350059255
S21	0.949958540169
S69	0.988082432316
S32	0.981314187633
S42	0.977242221675
S30	0.945189371093
S71	0.910702419133
S92	0.983158351915
S56	0.983760692949
S44	0.988709958283
S50	0.987747934804
S97	0.97703851022
S46	0.974693265706
S68	0.987429979867
S83	0.988193276176
S76	0.96080277518
S24	0.984666224655
S95	0.96951927833
S1	0.905613186385
S40	0.977069939348
S38	0.975245796688
S3	0.871771656592
S8	0.984728256818
S64	0.986896642517
S29	0.976353362873
S48	0.988962800878
S6	0.95669059719
S72	0.980409916487
S78	0.9816173254
S11	0.972107188787
S31	0.98395025384
S91	0.984105869184
S14	0.952187131872
S5	0.979520601098
S70	0.98991768774
S45	0.988227376826
S75	0.981813445942
S79	0.987275155978
S27	0.953269313063
S61	0.991409851684
S86	0.978913123366
S52	0.98307856397
S74	0.963679623823
S80	0.972338865764
S10	0.962833591013
S98	0.985011847358
S87	0.980362222429
S41	0.981032420766
S84	0.968746119566
S57	0.986382447355
S60	0.985644085575
S90	0.977549521592
S96	0.970609967368
S16	0.966809604965
S12	0.943037591678
S66	0.988519542599
S85	0.975036805306
S93	0.954913759984
S88	0.988401191288
S19	0.935285697754
