log2foldChange	pValues	logP	baseMean	FDR	logFDR	group	label	bar
Acidisarcina	7.01047567036068	0.0764479298304189	1.11663427055773	5.6227111004177e-05	0.598288146498931	0.223089601472012	enriched	NA	1
Acidobacterium	7.01047567036068	0.0764479298304189	1.11663427055773	5.87739607514769e-05	0.598288146498931	0.223089601472012	enriched	NA	1
Candidatus_Koribacter	4.9747148338667	0.325270979974212	0.487754681874203	0.000244928548810726	0.598358163575555	0.223038779387332	nosig	NA	1
Candidatus_Solibacter	1.40860879987454	0.441802641802642	0.354771691549963	0.00020676991784739	0.657227070450211	0.182284556763107	nosig	NA	1
Chloracidobacterium	7.01047567036068	0.381573905705021	0.418421332594266	1.71939477303989e-06	0.598358163575555	0.223038779387332	nosig	NA	1
Edaphobacter	7.01047567036068	0.170903520230797	0.767248991690819	7.907878553207e-06	0.598358163575555	0.223038779387332	nosig	NA	1
Granulicella	-0.0334757024421856	0.90394632428869	0.0438573568668024	1.55552928394024e-05	1	0	nosig	NA	1
Luteitalea	0.61892340235852	0.194871794871795	0.710251014745708	0.000190103964086299	0.598358163575555	0.223038779387332	nosig	NA	1
Terriglobus	2.94073475516774	0.110465130411439	0.956774790393203	2.88214051263679e-05	0.598358163575555	0.223038779387332	nosig	NA	1
Acidimicrobium	7.01047567036068	0.170903520230797	0.767248991690819	4.45075757575758e-06	0.598358163575555	0.223038779387332	nosig	NA	1
Acidipropionibacterium	-7.71152323739675	0.381573905705021	0.418421332594266	0	0.598358163575555	0.223038779387332	nosig	NA	1
Acidothermus	2.46672674400737	0.400160495495669	0.397765787851423	8.76517137823287e-05	0.622279820209248	0.206014282438108	nosig	NA	1
Actinoalloteichus	7.01047567036068	0.381573905705021	0.418421332594266	3.65497076023392e-06	0.598358163575555	0.223038779387332	nosig	NA	1
Actinomadura	2.0483806830629	1	0	6.06901075688794e-05	1	0	nosig	NA	1
Actinomarinicola	0.558558356018814	0.557672607434147	0.253620687286032	3.51613318656412e-05	0.772162071831896	0.112291534489563	nosig	NA	1
Actinomyces	0.255574708084071	0.945001830339073	0.0245673503210126	6.02742692991656e-06	1	0	nosig	NA	1
Actinopolymorpha	-7.71152323739675	0.0764479298304189	1.11663427055773	0	0.598288146498931	0.223089601472012	depleted	NA	1
Actinotignum	-7.71152323739675	0.170903520230797	0.767248991690819	0	0.598358163575555	0.223038779387332	nosig	NA	1
Adlercreutzia	2.39136003749036	0.000621600621600622	3.20648855991244	0.00050740187813693	0.195804195804196	0.708178006122843	enriched	NA	1
Aeromicrobium	-3.35725365401482	0.0402162497314597	1.39559843092654	3.23834196891192e-06	0.462622355579545	0.334773384383714	depleted	NA	1
Agromyces	-7.71152323739675	0.0764479298304189	1.11663427055773	0	0.598288146498931	0.223089601472012	depleted	NA	1
