log2foldChange	pValues	logP	baseMean	FDR	logFDR	group	label	bar
Acidisarcina	5.31853575636814	0.381573905705021	0.418421332594266	3.2133676092545e-06	0.688688196225885	0.161977360542914	nosig	NA	1
Candidatus_Koribacter	1.50783925069871	0.144754189722406	0.839368857327718	2.21516391204839e-05	0.688688196225885	0.161977360542914	nosig	NA	1
Candidatus_Solibacter	-0.100709423172283	0.573737373737374	0.241286858886531	7.26335543527998e-05	0.87184888186271	0.0595587850910997	nosig	NA	1
Chloracidobacterium	5.31853575636814	0.381573905705021	0.418421332594266	7.50750750750751e-06	0.688688196225885	0.161977360542914	nosig	NA	1
Edaphobacter	5.31853575636814	0.381573905705021	0.418421332594266	5.82750582750583e-06	0.688688196225885	0.161977360542914	nosig	NA	1
Granulicella	1.37910637263571	0.0404794561132102	1.3927653313614	4.14102418900653e-05	0.688688196225885	0.161977360542914	enriched	NA	1
Luteitalea	1.58592969089294	0.00295260295260295	2.52979495028758	0.000371611437078535	0.383746687013491	0.415955360877546	enriched	NA	1
Terriglobus	0.270709667739467	0.700128127015315	0.154822474608919	4.5285327159357e-06	0.937974133072968	0.0278091381865783	nosig	NA	1
Acidipropionibacterium	-5.85038933200495	0.381573905705021	0.418421332594266	0	0.688688196225885	0.161977360542914	nosig	NA	1
Acidothermus	-0.913423996523284	0.602524352361297	0.220025395421307	8.41847931542588e-06	0.881652980904183	0.0547023197820209	nosig	NA	1
Actinoalloteichus	5.31853575636814	0.381573905705021	0.418421332594266	2.8735632183908e-06	0.688688196225885	0.161977360542914	nosig	NA	1
Actinomadura	-0.135893512963693	1	0	1.33532154260925e-05	1	0	nosig	NA	1
Actinomarinicola	1.70438567301438	0.104895104895105	0.979244778409381	7.78025281705099e-05	0.688688196225885	0.161977360542914	nosig	NA	1
Actinomyces	-1.18780652100601	0.589744362208388	0.229336202156636	2.21631205673759e-06	0.87184888186271	0.0595587850910997	nosig	NA	1
Actinoplanes	5.31853575636814	0.0764479298304189	1.11663427055773	7.28380432632823e-06	0.688688196225885	0.161977360542914	enriched	NA	1
Actinopolymorpha	-5.85038933200495	0.0764479298304189	1.11663427055773	0	0.688688196225885	0.161977360542914	depleted	NA	1
Actinotignum	-5.85038933200495	0.170903520230797	0.767248991690819	0	0.688688196225885	0.161977360542914	nosig	NA	1
Adlercreutzia	2.35401905156921	0.000310800310800311	3.50751855557642	0.000494437399509508	0.111421911421911	0.953029395572605	enriched	NA	1
Aeromicrobium	-0.39232682907834	0.666227645409619	0.176377350030099	2.52845144206714e-05	0.932978948747454	0.0301281553381299	nosig	NA	1
Agromyces	0.519068864773186	0.80927967977986	0.0919013641796334	1.61257754056474e-05	1	0	nosig	NA	1
Amycolatopsis	1.17084070762405	0.589744362208388	0.229336202156636	5.33008658008658e-06	0.87184888186271	0.0595587850910997	nosig	NA	1
Arabia	-1.03617029261641	0.589744362208388	0.229336202156636	2.59336099585062e-06	0.87184888186271	0.0595587850910997	nosig	NA	1
Arachnia	-5.85038933200495	0.381573905705021	0.418421332594266	0	0.688688196225885	0.161977360542914	nosig	NA	1
Arcanobacterium	-5.85038933200495	0.381573905705021	0.418421332594266	0	0.688688196225885	0.161977360542914	nosig	NA	1
Arsenicicoccus	5.31853575636814	0.381573905705021	0.418421332594266	2.56673511293635e-06	0.688688196225885	0.161977360542914	nosig	NA	1
Arthrobacter	-5.85038933200495	0.0764479298304189	1.11663427055773	0	0.688688196225885	0.161977360542914	depleted	NA	1
Auraticoccus	-5.85038933200495	0.381573905705021	0.418421332594266	0	0.688688196225885	0.161977360542914	nosig	NA	1
Auritidibacter	5.31853575636814	0.381573905705021	0.418421332594266	2.77161862527716e-06	0.688688196225885	0.161977360542914	nosig	NA	1
Baekduia	-0.150567538044458	0.798445998445998	0.0977544513100782	7.9007815110995e-05	1	0	nosig	NA	1
Berryella	-0.101193198482429	0.878477078477078	0.0562695657802869	7.7109122253712e-05	1	0	nosig	NA	1
Bifidobacterium	-0.492441226330669	0.382284382284382	0.417613444137026	0.0171395680991176	0.688688196225885	0.161977360542914	nosig	NA	1
Blastococcus	-0.486859086423219	0.866373292058218	0.0622949442988505	1.36121608978226e-05	1	0	nosig	NA	1
Boudabousia	0.102051271469697	1	0	3.27225130890052e-06	1	0	nosig	NA	1
Brachybacterium	-0.428569083000301	1	0	2.05930807248764e-06	1	0	nosig	NA	1
Brevibacterium	-0.819379088500813	0.54652373171261	0.262390974925516	1.44756014976108e-05	0.86312228114084	0.06392767211482	nosig	NA	1
Catenulispora	5.31853575636814	0.381573905705021	0.418421332594266	2.04248366013072e-06	0.688688196225885	0.161977360542914	nosig	NA	1
Cellulomonas	-0.653271151953909	0.506864838232507	0.295107835214262	8.92778801438975e-06	0.816678851713949	0.0879486905273934	nosig	NA	1
Clavibacter	5.31853575636814	0.381573905705021	0.418421332594266	4.49640287769784e-06	0.688688196225885	0.161977360542914	nosig	NA	1
Collinsella	0.522356050628889	0.878477078477078	0.0562695657802869	0.000158148329779604	1	0	nosig	NA	1
Conexibacter	1.96121441584767	0.305004520647559	0.515693723677018	2.26995963825453e-05	0.688688196225885	0.161977360542914	nosig	NA	1
Corynebacterium	0.0307796901851877	0.878477078477078	0.0562695657802869	0.000232166235128799	1	0	nosig	NA	1
Cutibacterium	5.31853575636814	0.381573905705021	0.418421332594266	2.65392781316348e-06	0.688688196225885	0.161977360542914	nosig	NA	1
Denitrobacterium	0.588784163414633	0.749558782745198	0.125194302747908	8.08594454399551e-06	0.981035546576565	0.00831525622620148	nosig	NA	1
Dermatophilus	5.31853575636814	0.381573905705021	0.418421332594266	4.23728813559322e-06	0.688688196225885	0.161977360542914	nosig	NA	1
Dietzia	-1.6709983651026	0.589744362208388	0.229336202156636	5.05050505050505e-06	0.87184888186271	0.0595587850910997	nosig	NA	1
Eggerthella	0.167756942803122	1	0	3.50126788036733e-05	1	0	nosig	NA	1
Egibacter	-2.27836224836892	0.165199926439324	0.781990150399431	4.05430947580645e-06	0.688688196225885	0.161977360542914	nosig	NA	1
Egicoccus	-0.620093313024383	0.54652373171261	0.262390974925516	1.34007378706813e-05	0.86312228114084	0.06392767211482	nosig	NA	1
Epidermidibacterium	-5.85038933200495	0.381573905705021	0.418421332594266	0	0.688688196225885	0.161977360542914	nosig	NA	1
Euzebya	1.92976983369029	0.629301099405578	0.201141509527965	3.1759141916153e-05	0.909695339261693	0.0411040303503623	nosig	NA	1
Frankia	0.60111729765251	0.36542155791502	0.43720583517899	1.43316270350733e-05	0.688688196225885	0.161977360542914	nosig	NA	1
Gardnerella	-5.85038933200495	0.381573905705021	0.418421332594266	0	0.688688196225885	0.161977360542914	nosig	NA	1
Geodermatophilus	1.35803037938265	0.701191262659848	0.154163504161608	2.92268992715048e-05	0.937974133072968	0.0278091381865783	nosig	NA	1
Georgenia	-5.85038933200495	0.381573905705021	0.418421332594266	0	0.688688196225885	0.161977360542914	nosig	NA	1
Gordonibacter	0.784394755517724	0.798445998445998	0.0977544513100782	0.000215762644781109	1	0	nosig	NA	1
Ilumatobacter	0.58006712077436	0.87286389223862	0.059053471595828	3.71806974939685e-05	1	0	nosig	NA	1
Isoptericola	5.31853575636814	0.381573905705021	0.418421332594266	2.56673511293635e-06	0.688688196225885	0.161977360542914	nosig	NA	1
Jiangella	-2.43857301373963	1	0	1.34843581445523e-06	1	0	nosig	NA	1
Jonesia	-5.85038933200495	0.381573905705021	0.418421332594266	0	0.688688196225885	0.161977360542914	nosig	NA	1
Kibdelosporangium	1.41568604729646	0.589744362208388	0.229336202156636	6.53888653782856e-06	0.87184888186271	0.0595587850910997	nosig	NA	1
Kineococcus	-5.85038933200495	0.170903520230797	0.767248991690819	0	0.688688196225885	0.161977360542914	nosig	NA	1
Kocuria	5.31853575636814	0.381573905705021	0.418421332594266	2.72331154684096e-06	0.688688196225885	0.161977360542914	nosig	NA	1
Kribbella	-0.594982849404015	0.344207338785014	0.463179874392368	2.79352822845419e-05	0.688688196225885	0.161977360542914	nosig	NA	1
Lancefieldella	-5.85038933200495	0.381573905705021	0.418421332594266	0	0.688688196225885	0.161977360542914	nosig	NA	1
Leucobacter	1.4144704845649	0.36542155791502	0.43720583517899	1.47768113039768e-05	0.688688196225885	0.161977360542914	nosig	NA	1
Microbacterium	-0.575957483094001	0.945001830339073	0.0245673503210126	9.46125925261682e-06	1	0	nosig	NA	1
Microlunatus	0.460652601058516	0.430557887644654	0.365968450262505	3.85366406165053e-05	0.749563721848558	0.125191441040038	nosig	NA	1
