log2foldChange	pValues	logP	baseMean	FDR	logFDR	group	label	bar
Acidisarcina	7.12392762536832	0.381573905705021	0.418421332594266	1.61290322580645e-06	0.633880847834336	0.197992369864747	nosig	NA	1
Candidatus_Koribacter	-2.09585468640951	0.269699624390875	0.569119658386129	1.82215743440233e-06	0.633880847834336	0.197992369864747	nosig	NA	1
Candidatus_Solibacter	-0.907173470635102	0.194871794871795	0.710251014745708	4.15305256843149e-05	0.633880847834336	0.197992369864747	nosig	NA	1
Chloracidobacterium	7.12392762536832	0.170903520230797	0.767248991690819	5.36996407758506e-06	0.633880847834336	0.197992369864747	nosig	NA	1
Granulicella	-0.564444876859097	0.65494027546235	0.183798301870438	1.07656571071205e-05	0.850587279425603	0.0702811164686645	nosig	NA	1
Luteitalea	0.585966596651292	0.234498834498834	0.629859311464816	0.000185810471718881	0.633880847834336	0.197992369864747	nosig	NA	1
Terriglobus	0.286319690976127	0.700128127015315	0.154822474608919	4.57779768124596e-06	0.888009538679346	0.0515823691610891	nosig	NA	1
Acidipropionibacterium	-7.83632038790515	0.381573905705021	0.418421332594266	0	0.633880847834336	0.197992369864747	nosig	NA	1
Acidothermus	-1.00155481410061	0.432802483745193	0.363710255586939	7.919606975984e-06	0.685751490911828	0.163833239510417	nosig	NA	1
Actinoalloteichus	7.12392762536832	0.170903520230797	0.767248991690819	4.89882466517515e-06	0.633880847834336	0.197992369864747	nosig	NA	1
Actinomadura	-1.45603809993387	0.224313126511154	0.649145311327614	5.34789333040486e-06	0.633880847834336	0.197992369864747	nosig	NA	1
Actinomarinicola	-0.0107203410099002	0.712381604209866	0.147287303825999	2.36971083094844e-05	0.893917637917638	0.0487024935594109	nosig	NA	1
Actinomyces	-0.727735268112667	0.589744362208388	0.229336202156636	3.04878048780488e-06	0.799406331282473	0.0972324164585096	nosig	NA	1
Actinopolymorpha	-7.83632038790515	0.0764479298304189	1.11663427055773	0	0.633806674059171	0.198043191949428	depleted	NA	1
Actinotignum	-7.83632038790515	0.170903520230797	0.767248991690819	0	0.633880847834336	0.197992369864747	nosig	NA	1
Adlercreutzia	0.708096757520967	0.13038073038073	0.884786590411705	0.000157993540929648	0.633880847834336	0.197992369864747	nosig	NA	1
Aeromicrobium	-0.724753295943555	0.432309552266298	0.364205168235236	2.00809511524514e-05	0.685751490911828	0.163833239510417	nosig	NA	1
Agromyces	-0.0172829644893574	1	0	1.1118920318585e-05	1	0	nosig	NA	1
Amycolatopsis	-7.83632038790515	0.381573905705021	0.418421332594266	0	0.633880847834336	0.197992369864747	nosig	NA	1
Arabia	-0.726907301372636	0.700128127015315	0.154822474608919	3.2133676092545e-06	0.888009538679346	0.0515823691610891	nosig	NA	1
Arachnia	1.21980090808188	1	0	3.14070351758794e-06	1	0	nosig	NA	1
Arcanobacterium	0.0611402948139042	1	0	2.70562770562771e-06	1	0	nosig	NA	1
Arthrobacter	-7.83632038790515	0.0764479298304189	1.11663427055773	0	0.633806674059171	0.198043191949428	depleted	NA	1
Auraticoccus	-0.0701155976864423	1	0	2.3719165085389e-06	1	0	nosig	NA	1
Baekduia	-0.472625288213535	0.505361305361305	0.296398014318375	6.3200571985964e-05	0.730090160928843	0.136623504295965	nosig	NA	1
Berryella	-0.482565665593976	0.573737373737374	0.241286858886531	5.91972057387815e-05	0.799406331282473	0.0972324164585096	nosig	NA	1
Bifidobacterium	-2.43125059346748	0.000310800310800311	3.50751855557642	0.00447054116798217	0.110800310800311	0.95545902138854	depleted	NA	1
Blastococcus	-0.862909838990167	0.36542155791502	0.43720583517899	1.04887689193097e-05	0.633880847834336	0.197992369864747	nosig	NA	1
Boudabousia	-7.83632038790515	0.381573905705021	0.418421332594266	0	0.633880847834336	0.197992369864747	nosig	NA	1
Brachybacterium	-7.83632038790515	0.381573905705021	0.418421332594266	0	0.633880847834336	0.197992369864747	nosig	NA	1
Brevibacterium	-2.22642188899929	0.0702701306056765	1.15322923927235	5.45851528384279e-06	0.633806674059171	0.198043191949428	depleted	NA	1
Catenulispora	7.12392762536832	0.381573905705021	0.418421332594266	1.62337662337662e-06	0.633880847834336	0.197992369864747	nosig	NA	1
Cellulomonas	-1.22954748946346	0.36542155791502	0.43720583517899	5.98780165871043e-06	0.633880847834336	0.197992369864747	nosig	NA	1
Collinsella	0.220445393315985	0.720901320901321	0.142124178721646	0.00012828634911718	0.893917637917638	0.0487024935594109	nosig	NA	1
Conexibacter	-0.692379487069765	0.700128127015315	0.154822474608919	3.60750360750361e-06	0.888009538679346	0.0515823691610891	nosig	NA	1
Coriobacterium	7.12392762536832	0.170903520230797	0.767248991690819	3.9329409359431e-06	0.633880847834336	0.197992369864747	nosig	NA	1
Corynebacterium	0.608965233275529	0.645376845376845	0.190186620130527	0.000346617312256782	0.850587279425603	0.0702811164686645	nosig	NA	1
Cutibacterium	7.12392762536832	0.170903520230797	0.767248991690819	3.89892624905104e-06	0.633880847834336	0.197992369864747	nosig	NA	1
Denitrobacterium	-7.83632038790515	0.170903520230797	0.767248991690819	0	0.633880847834336	0.197992369864747	nosig	NA	1
Dermatophilus	7.12392762536832	0.381573905705021	0.418421332594266	2.03252032520325e-06	0.633880847834336	0.197992369864747	nosig	NA	1
Dietzia	-2.33442349425084	0.589744362208388	0.229336202156636	3.18877551020408e-06	0.799406331282473	0.0972324164585096	nosig	NA	1
Eggerthella	-0.0910416518953873	0.91412834520142	0.0389928242884845	2.92630237554618e-05	1	0	nosig	NA	1
Egibacter	-2.42795860131392	0.141990846650732	0.847739651231071	3.65497076023392e-06	0.633880847834336	0.197992369864747	nosig	NA	1
Egicoccus	-0.963785659590816	0.271588674243375	0.566088344907604	1.05600750938673e-05	0.633880847834336	0.197992369864747	nosig	NA	1
Epidermidibacterium	-7.83632038790515	0.381573905705021	0.418421332594266	0	0.633880847834336	0.197992369864747	nosig	NA	1
Euzebya	0.287353354726957	0.602524352361297	0.220025395421307	1.01730723786127e-05	0.809039290458766	0.0920303866509109	nosig	NA	1
Frankia	-1.90358553724085	0.589744362208388	0.229336202156636	2.52525252525253e-06	0.799406331282473	0.0972324164585096	nosig	NA	1
Gardnerella	-7.83632038790515	0.381573905705021	0.418421332594266	0	0.633880847834336	0.197992369864747	nosig	NA	1
Geodermatophilus	-7.83632038790515	0.0127769927806436	1.89357135059499	0	0.506110880699938	0.295754325846426	depleted	NA	1
Georgenia	-7.83632038790515	0.381573905705021	0.418421332594266	0	0.633880847834336	0.197992369864747	nosig	NA	1
Glutamicibacter	7.12392762536832	0.381573905705021	0.418421332594266	2.3719165085389e-06	0.633880847834336	0.197992369864747	nosig	NA	1
Gordonibacter	1.38443109481692	0.234498834498834	0.629859311464816	0.000327043252748418	0.633880847834336	0.197992369864747	nosig	NA	1
Ilumatobacter	-1.21866203387196	0.224313126511154	0.649145311327614	1.06867611521129e-05	0.633880847834336	0.197992369864747	nosig	NA	1
Jiangella	-7.83632038790515	0.381573905705021	0.418421332594266	0	0.633880847834336	0.197992369864747	nosig	NA	1
Jonesia	-7.83632038790515	0.381573905705021	0.418421332594266	0	0.633880847834336	0.197992369864747	nosig	NA	1
Kibdelosporangium	-7.83632038790515	0.381573905705021	0.418421332594266	0	0.633880847834336	0.197992369864747	nosig	NA	1
Kineococcus	-0.790699006224088	0.589744362208388	0.229336202156636	2.83446712018141e-06	0.799406331282473	0.0972324164585096	nosig	NA	1
Kribbella	-1.2464811560326	0.0704615426471519	1.15204785284067	1.77841262111467e-05	0.633806674059171	0.198043191949428	depleted	NA	1
Lancefieldella	-7.83632038790515	0.381573905705021	0.418421332594266	0	0.633880847834336	0.197992369864747	nosig	NA	1
Leucobacter	0.158252336562851	0.749558782745198	0.125194302747908	6.18616335304615e-06	0.921440365685045	0.0355327664589797	nosig	NA	1
Microbacterium	-0.172192218080597	1	0	1.25168313007111e-05	1	0	nosig	NA	1
