log2foldChange	pValues	logP	baseMean	FDR	logFDR	group	label	bar
Candidatus_Koribacter	0.616192215885147	0.685443482677522	0.16402834856692	1.19396986200295e-05	0.880596108677098	0.0552232380041307	nosig	NA	1
Candidatus_Solibacter	-0.274800129417405	1	0	6.43770056373661e-05	1	0	nosig	NA	1
Chloracidobacterium	7.9972270142923	0.381573905705021	0.418421332594266	2.65392781316348e-06	0.626569245403326	0.203030925891308	nosig	NA	1
Granulicella	-0.885504648287792	0.717327300041757	0.144282640471024	8.61771091811414e-06	0.891673207409248	0.0497942826450409	nosig	NA	1
Luteitalea	0.946906557523234	0.0498834498834499	1.30204351883553	0.000238629395308158	0.58814196556132	0.230517831375927	nosig	NA	1
Terriglobus	-8.79694971572153	0.381573905705021	0.418421332594266	0	0.626569245403326	0.203030925891308	nosig	NA	1
Acidipropionibacterium	-8.79694971572153	0.381573905705021	0.418421332594266	0	0.626569245403326	0.203030925891308	nosig	NA	1
Acidothermus	-0.89156408489902	0.225114315064885	0.647596887247304	8.54700854700855e-06	0.626569245403326	0.203030925891308	nosig	NA	1
Actinomadura	0.776910599481751	0.451913458279073	0.344944724901804	2.51401157829186e-05	0.694009953785719	0.158634300664437	nosig	NA	1
Actinomarinicola	0.431561835946416	1	0	3.21984937146524e-05	1	0	nosig	NA	1
Actinomyces	0.241432321727483	0.700128127015315	0.154822474608919	5.96863019489375e-06	0.880705864268641	0.0551691118536365	nosig	NA	1
Actinopolymorpha	-2.05976712082383	0.269699624390875	0.569119658386129	2.49003984063745e-06	0.626569245403326	0.203030925891308	nosig	NA	1
Actinopolyspora	7.9972270142923	0.381573905705021	0.418421332594266	3.43406593406593e-06	0.626569245403326	0.203030925891308	nosig	NA	1
Actinotignum	-8.79694971572153	0.170903520230797	0.767248991690819	0	0.626569245403326	0.203030925891308	nosig	NA	1
Adlercreutzia	2.71023035719287	0.00295260295260295	2.52979495028758	0.000632909480871808	0.17986272986273	0.745058819377341	enriched	NA	1
Aeromicrobium	-0.868239337525532	0.450351343584874	0.346448537237696	1.81798659762628e-05	0.694009953785719	0.158634300664437	nosig	NA	1
Agromyces	0.412306606945534	0.80927967977986	0.0919013641796334	1.49755218383146e-05	0.963490954265599	0.0161523583629406	nosig	NA	1
Amycolatopsis	-0.284280807969494	1	0	1.94401244167963e-06	1	0	nosig	NA	1
Arabia	2.78220144482927	0.700128127015315	0.154822474608919	3.65853658536585e-05	0.880705864268641	0.0551691118536365	nosig	NA	1
Arachnia	-8.79694971572153	0.381573905705021	0.418421332594266	0	0.626569245403326	0.203030925891308	nosig	NA	1
Arcanobacterium	-8.79694971572153	0.381573905705021	0.418421332594266	0	0.626569245403326	0.203030925891308	nosig	NA	1
Arthrobacter	-1.62641198996681	0.269699624390875	0.569119658386129	2.36742424242424e-06	0.626569245403326	0.203030925891308	nosig	NA	1
Auraticoccus	-8.79694971572153	0.381573905705021	0.418421332594266	0	0.626569245403326	0.203030925891308	nosig	NA	1
Baekduia	0.614014211390747	0.878477078477078	0.0562695657802869	0.000134224592043843	1	0	nosig	NA	1
Berryella	-0.86081750125397	0.247647846102897	0.606165444906215	4.55445126160642e-05	0.626569245403326	0.203030925891308	nosig	NA	1
Bifidobacterium	-2.04868049951603	0.000310800310800311	3.50751855557642	0.00582807554078891	0.0567987567987568	1.24566116994653	depleted	NA	1
Blastococcus	-1.35243465779751	0.305004520647559	0.515693723677018	7.47072694747113e-06	0.626569245403326	0.203030925891308	nosig	NA	1
Boudabousia	-8.79694971572153	0.381573905705021	0.418421332594266	0	0.626569245403326	0.203030925891308	nosig	NA	1
Brachybacterium	-8.79694971572153	0.381573905705021	0.418421332594266	0	0.626569245403326	0.203030925891308	nosig	NA	1
Brevibacterium	-0.711472401477011	0.621768741264933	0.206371115418256	1.5599826504838e-05	0.821904068471367	0.0851788697650935	nosig	NA	1
Cellulomonas	-2.82764229212372	0.0847449524226576	1.07188615979473	1.97784810126582e-06	0.619485602209627	0.207968782836866	depleted	NA	1
Cellulosimicrobium	7.9972270142923	0.381573905705021	0.418421332594266	4.35540069686411e-06	0.626569245403326	0.203030925891308	nosig	NA	1
Collinsella	0.127734623496463	0.798445998445998	0.0977544513100782	0.000120301688557203	0.955260269826554	0.019878284594772	nosig	NA	1
Conexibacter	0.282235194510322	1	0	7.08916406590825e-06	1	0	nosig	NA	1
Corynebacterium	0.571603697039864	0.645376845376845	0.190186620130527	0.000337756182400935	0.837958213091428	0.0767776380240131	nosig	NA	1
Denitrobacterium	-8.79694971572153	0.170903520230797	0.767248991690819	0	0.626569245403326	0.203030925891308	nosig	NA	1
Dietzia	-0.703967013636965	0.749558782745198	0.125194302747908	9.8727980443194e-06	0.914737011997896	0.0387037481793589	nosig	NA	1
Eggerthella	1.41405128333511	0.340987153381906	0.467261982651039	8.30610314048381e-05	0.626569245403326	0.203030925891308	nosig	NA	1
Egibacter	-1.99309966112233	0.180008443727484	0.744707122795331	4.94071146245059e-06	0.626569245403326	0.203030925891308	nosig	NA	1
Egicoccus	-0.826476308766962	0.432309552266298	0.364205168235236	1.16145192950668e-05	0.681850464693396	0.166310859183959	nosig	NA	1
Epidermidibacterium	-8.79694971572153	0.381573905705021	0.418421332594266	0	0.626569245403326	0.203030925891308	nosig	NA	1
Euzebya	1.04227694626662	0.451913458279073	0.344944724901804	1.71674890825578e-05	0.694009953785719	0.158634300664437	nosig	NA	1
Flaviflexus	7.9972270142923	0.381573905705021	0.418421332594266	2.91375291375291e-06	0.626569245403326	0.203030925891308	nosig	NA	1
Frankia	-0.997050329007179	0.945001830339073	0.0245673503210126	4.73368226600985e-06	1	0	nosig	NA	1
Frondihabitans	7.9972270142923	0.381573905705021	0.418421332594266	3.27225130890052e-06	0.626569245403326	0.203030925891308	nosig	NA	1
Gardnerella	-8.79694971572153	0.381573905705021	0.418421332594266	0	0.626569245403326	0.203030925891308	nosig	NA	1
Geodermatophilus	0.55385205779226	1	0	1.67378991247696e-05	1	0	nosig	NA	1
Georgenia	-8.79694971572153	0.381573905705021	0.418421332594266	0	0.626569245403326	0.203030925891308	nosig	NA	1
Gordonibacter	1.82293398199072	0.194871794871795	0.710251014745708	0.000443208127489814	0.626569245403326	0.203030925891308	nosig	NA	1
Ilumatobacter	0.375781425938077	0.48837084853161	0.311250267535732	3.22716678397232e-05	0.718308028725567	0.143689279311203	nosig	NA	1
Jiangella	-8.79694971572153	0.381573905705021	0.418421332594266	0	0.626569245403326	0.203030925891308	nosig	NA	1
