log2foldChange	pValues	logP	baseMean	FDR	logFDR	group	label	bar
Acidisarcina	6.36546913894188	0.170903520230797	0.767248991690819	4.40452383233755e-06	0.664219114219114	0.177688630874875	nosig	NA	1
Candidatus_Koribacter	0.356238347165756	0.80927967977986	0.0919013641796334	9.97101690501905e-06	0.961451927259834	0.0170724256717	nosig	NA	1
Candidatus_Solibacter	-0.0295922794612998	0.720901320901321	0.142124178721646	7.630371632689e-05	0.882088764131018	0.0544877098425509	nosig	NA	1
Chloracidobacterium	6.36546913894188	0.381573905705021	0.418421332594266	2.52525252525253e-06	0.664219114219114	0.177688630874875	nosig	NA	1
Edaphobacter	6.36546913894188	0.381573905705021	0.418421332594266	1.82215743440233e-06	0.664219114219114	0.177688630874875	nosig	NA	1
Granulicella	-1.25324325363518	0.482500424617946	0.316502300125059	6.67869438559322e-06	0.737520302063241	0.132226020159725	nosig	NA	1
Luteitalea	0.473963202209942	0.194871794871795	0.710251014745708	0.00017193084772975	0.664219114219114	0.177688630874875	nosig	NA	1
Terriglobus	0.0664954117869066	1	0	3.93081761006289e-06	1	0	nosig	NA	1
Acidipropionibacterium	-7.00201605283607	0.381573905705021	0.418421332594266	0	0.664219114219114	0.177688630874875	nosig	NA	1
Acidothermus	0.680646497415046	0.822333756389101	0.0849518818038159	2.5415384421633e-05	0.968854008902309	0.01374165938352	nosig	NA	1
Actinoalloteichus	6.36546913894188	0.381573905705021	0.418421332594266	1.34843581445523e-06	0.664219114219114	0.177688630874875	nosig	NA	1
Actinomadura	0.30767342528015	0.822480381658075	0.0848744523314897	1.81598730836973e-05	0.968854008902309	0.01374165938352	nosig	NA	1
Actinomarinicola	0.230762819674674	0.589773790658908	0.229314531250355	2.80148968882623e-05	0.802138521541959	0.0957506267949533	nosig	NA	1
Actinomyces	-0.487047021185482	0.700128127015315	0.154822474608919	3.60230547550432e-06	0.877496232584415	0.0567547394448302	nosig	NA	1
Actinopolymorpha	-1.12988271851027	0.407774760622591	0.389579658551885	4.7438330170778e-06	0.686545124813532	0.16333091244987	nosig	NA	1
Actinotignum	-7.00201605283607	0.170903520230797	0.767248991690819	0	0.664219114219114	0.177688630874875	nosig	NA	1
Adlercreutzia	1.69938685839587	0.00466200466200466	2.33142729652074	0.000314085138393821	0.54001554001554	0.267593742314273	enriched	NA	1
Aeromicrobium	-1.81532660943035	0.118212288779656	0.927337373947296	9.42950727433486e-06	0.664219114219114	0.177688630874875	nosig	NA	1
Agromyces	1.15877203140951	0.685443482677522	0.16402834856692	2.51240962365286e-05	0.877496232584415	0.0567547394448302	nosig	NA	1
Amycolatopsis	0.801220135885502	1	0	4.12541254125413e-06	1	0	nosig	NA	1
Arabia	-7.00201605283607	0.170903520230797	0.767248991690819	0	0.664219114219114	0.177688630874875	nosig	NA	1
Arachnia	-7.00201605283607	0.381573905705021	0.418421332594266	0	0.664219114219114	0.177688630874875	nosig	NA	1
Arcanobacterium	1.72059652175919	1	0	8.54700854700855e-06	1	0	nosig	NA	1
Arthrobacter	-7.00201605283607	0.0764479298304189	1.11663427055773	0	0.664219114219114	0.177688630874875	depleted	NA	1
Aurantimicrobium	6.36546913894188	0.381573905705021	0.418421332594266	2.05254515599343e-06	0.664219114219114	0.177688630874875	nosig	NA	1
Auraticoccus	-7.00201605283607	0.381573905705021	0.418421332594266	0	0.664219114219114	0.177688630874875	nosig	NA	1
Baekduia	0.478441763742547	0.316997508681253	0.498944150937567	0.000122185795121131	0.664219114219114	0.177688630874875	nosig	NA	1
Berryella	-0.490283019656546	0.562948973674095	0.2495309683033	5.88813898073864e-05	0.802138521541959	0.0957506267949533	nosig	NA	1
Bifidobacterium	-1.81054002377051	0.00466200466200466	2.33142729652074	0.00687404860527552	0.54001554001554	0.267593742314273	depleted	NA	1
Blastococcus	-0.0100954470488164	0.869170236159133	0.0608951540647776	1.89429333044873e-05	0.994367377103533	0.00245313233134061	nosig	NA	1
Boudabousia	-7.00201605283607	0.381573905705021	0.418421332594266	0	0.664219114219114	0.177688630874875	nosig	NA	1
Brachybacterium	-7.00201605283607	0.381573905705021	0.418421332594266	0	0.664219114219114	0.177688630874875	nosig	NA	1
Brevibacterium	-0.80864783909988	0.432309552266298	0.364205168235236	1.45836773285528e-05	0.710770453826009	0.148270633774762	nosig	NA	1
Candidatus_Planktophila	6.36546913894188	0.381573905705021	0.418421332594266	2.45098039215686e-06	0.664219114219114	0.177688630874875	nosig	NA	1
Cellulomonas	0.600491516893593	0.587095624221708	0.231291156521414	2.12894303201507e-05	0.802138521541959	0.0957506267949533	nosig	NA	1
Collinsella	0.24122884424374	0.505361305361305	0.296398014318375	0.000130147816983966	0.753704092759887	0.122799126418261	nosig	NA	1
Conexibacter	-0.928093286904047	0.700128127015315	0.154822474608919	3.06372549019608e-06	0.877496232584415	0.0567547394448302	nosig	NA	1
