sample	Shannon.Wiener	Simpson	observed_species	Chao1	ACE	pielou
S14	5.4979652349644	0.952241625362982	5626	10315.1319107662	11543.4304862454	0.636695679305354
S71	5.06102316391245	0.912616646506519	4948	8754.75355969332	9523.24897699281	0.594942823854988
S13	6.27061703400899	0.982971429343626	6592	12035.8655462185	13091.1175698154	0.713087748579256
S79	6.30353699570582	0.987392359238138	6609	12093.6211232188	13302.6644150863	0.716621479319851
S20	5.80602591153106	0.974375530085767	5783	10604.1579457364	11540.5586627633	0.670234540242443
S91	6.30305218011574	0.984150222846692	6825	12376.3904163394	13829.7167324458	0.713956048332155
S78	6.09986708697557	0.981849214583801	6822	12261.2132587859	13464.7746536627	0.690975383132272
S26	5.85463326538143	0.965447902903389	6142	11715.5723562152	12763.7580696425	0.671179245318419
S53	6.09531700623172	0.980681785929713	6545	11781.6826086957	12606.3846340245	0.69371730031457
S8	6.07234468051969	0.984856268915264	5616	10164.076545633	11017.1891749646	0.703356997548236
S84	5.92458532226332	0.969547892372238	5953	10358.3631386861	11156.2185898183	0.681640992398276
S28	6.02716110764503	0.985360494037047	5236	9475.01058201058	10311.7267099719	0.703835188347896
S76	5.64576337588393	0.960370958306708	5871	10867.7689429373	12129.1190533663	0.650599947139543
S31	6.24734731668353	0.984121517976534	6279	11238.0502283105	11941.7737219784	0.714393550385866
S69	6.22948362136239	0.988086185800154	6609	11928.271059216	13093.1179527002	0.70820267592316
S94	6.47138785686367	0.989075613758754	6872	11919.04296875	12898.8497238371	0.732454295625221
S75	6.08691176277554	0.981936706125215	6237	11653.351627907	12444.5854400639	0.696582104523141
S77	4.94426460998147	0.910155795260403	4889	8866.23255813953	9535.83376420658	0.582038158606836
S57	6.15320771927782	0.986131906727288	6381	10635.6965918537	11310.8672800313	0.702334375023114
S11	5.65531213001313	0.97216416381062	4935	9658.91100702576	10766.0580161356	0.665009447436656
S96	5.82791022560576	0.970773176667983	5874	10348.4289693593	11100.3297055741	0.671550441274008
S47	6.12471732854577	0.987032292211117	5590	9886.94886363636	10917.6350657832	0.709804813393295
S68	6.1738697358915	0.98742985606382	5903	10493.765478424	11352.7109945517	0.711011882405742
S40	5.76175546024954	0.977144587775617	5412	9616.57372116349	10529.2668463104	0.670254163840185
S97	5.97728915219877	0.976744131592048	6661	11406.0831372549	12377.450883161	0.678926879291356
S80	5.66941934917546	0.972440425620019	5161	9407.50318471338	10343.7743899663	0.663176417271992
S37	6.23065156209902	0.982212789985229	6573	10751.7379310345	11827.7536491284	0.708775569341681
S58	6.23248646154956	0.98469062165708	6587	11918.0560747664	12998.2690991946	0.708812743367523
S98	6.34939954967575	0.985023632958325	5946	10767.0611677479	11559.7561294183	0.73061602244897
S63	6.17055236579434	0.983107430695322	6182	10644.8313253012	11624.7169037704	0.706870391971743
S36	6.31453864706232	0.984164216084041	6334	10974.9503205128	12241.5778291842	0.721357581467448
S45	6.3268240281364	0.988298999191535	6451	11511.6596638655	12609.4318554339	0.721252955519355
S2	6.14239998902392	0.980286297152084	5892	10736.1748526523	11406.0819525984	0.707539661326113
S15	5.52967613211783	0.938875518425638	5679	10566.7273612463	11681.9830242659	0.63967339470624
S88	6.41198928821246	0.988593945577445	6753	11893.7785888078	12648.1356634132	0.727169063688827
S32	6.08318433471598	0.981254838998365	5858	10436.5081809432	11258.2938327491	0.70118607460047
S21	5.31871377525165	0.950471010199005	5221	9337.26783867632	10405.3399430523	0.621312823287049
S55	6.36194494512419	0.988034448868575	6625	11581.5308641975	12671.800696172	0.723062857636584
S70	6.46175749509603	0.990014139844675	6837	12552.0903908795	13749.5334041591	0.731787220450719
S19	5.14804892271154	0.935267668500585	4771	8979.51113716295	9723.14530685324	0.607775652842482
S23	5.70679356246746	0.966408616085675	5708	10686.7130264447	11733.6761287875	0.659773601325187
S17	4.97755892449743	0.891941579553936	4816	9324.22432113341	10409.6090889017	0.586997124795945
S51	5.32593767526672	0.974547972515738	4190	7649.17335243553	8074.83336828379	0.638566724291678
S56	6.02067718177379	0.983942034278625	5945	11100.9324324324	11938.9444746176	0.692803833836553
S10	5.8743970479187	0.962644657560937	5783	10719.507082153	11887.1250870496	0.678127150069004
S9	5.17842703497021	0.931089338467264	5474	10474.6260775862	11128.2246815709	0.601599497823932
S64	6.2254842465559	0.986884346065528	6389	11259.2683732453	12553.3082676934	0.71048249566738
S44	6.45719645099116	0.988760412381133	6463	11490.6961805556	12361.9514875787	0.735959387428825
S41	5.81977969458502	0.980928313099435	5654	10122.9011857708	10865.3106895445	0.673576371529898
S48	6.31735810440383	0.989023472605754	5538	10090.5059171598	11270.3101659035	0.732924145962852
S87	6.15479274418094	0.980164341865598	6782	12629.7442845047	13724.3179288189	0.697661945384603
S7	5.78193751170042	0.960411557782984	5876	10478.3873957368	11451.8647647181	0.666226868470485
S92	6.21561681899549	0.983342669655698	5751	10587.4534883721	11530.010021091	0.717976686754437
S29	6.00758633972623	0.97648789847267	5928	11007.2369172217	11972.1994020989	0.691525333263594
S38	5.91643690089411	0.975698963968255	5904	10345.6398940865	11455.1957652427	0.681351414376825
S59	6.07467603068467	0.982090862964198	5598	11090.383759733	11637.9626206357	0.703888774190863
