	S14	S71	S13	S79	S20	S91	S78	S26	S53	S8	S84	S28	S76	S31	S69	S94	S75	S77	S57	S11	S96	S47	S68	S40	S97	S80	S37	S58	S98	S63	S36	S45	S2	S15	S88	S32	S21	S55	S70	S19	S23	S17	S51	S56	S10	S9	S64	S44	S41	S48	S87	S7	S92	S29	S38	S59
S14	0	0.678492187775118	0.392518942673872	0.520272080431023	0.41607008184013	0.4747455915482	0.549946788814279	0.398687400279659	0.518416963695521	0.41239270612731	0.685572651773643	0.545709881564846	0.611356849326647	0.566655067333711	0.527055794920772	0.591732414670601	0.618296764100573	0.668016975697258	0.620230138504647	0.346762367832054	0.548700738561184	0.547272504826393	0.562528168933438	0.535735989243236	0.614281272329759	0.649456817256523	0.621303772944507	0.546295214292842	0.573174116055815	0.628472627898603	0.497926257513219	0.500245657979145	0.478472152309678	0.370065667086769	0.592782241816672	0.434804929432887	0.46367875528042	0.491687111729105	0.502546318437039	0.431887646412262	0.389970261596632	0.446300894920249	0.49360032104668	0.479746273949654	0.37207621972234	0.374946171008148	0.440765793280771	0.513957972955345	0.52700422553352	0.617392777540428	0.501593576916594	0.437566215895555	0.564222066683035	0.544607524968037	0.575231735074045	0.590649973994135
S71	0.678492187775118	0	0.706532926039336	0.590012736086476	0.665858733659597	0.69258719395433	0.609560298115482	0.7131429449565	0.732063191657256	0.67823004184737	0.406482940917304	0.602558004759258	0.410005731166003	0.762829420866134	0.623167204660226	0.697199026290392	0.713104678494457	0.321470727966093	0.605390785223226	0.631641739279298	0.783570401993096	0.623758167350216	0.649906080007743	0.611438777750403	0.450557217812799	0.683161204831442	0.436243626494269	0.614077129632436	0.713657585361629	0.63692191579427	0.600960246478608	0.608571278674857	0.742369735623748	0.678450683865547	0.510923043415758	0.67716747751845	0.639297436940483	0.678984196112043	0.64917404755279	0.700622391500604	0.664602387471357	0.713830358151159	0.710625750402424	0.678387132517572	0.625542491714654	0.698667600384726	0.692427305520814	0.664807134383934	0.617737128391519	0.665451742052374	0.629188847505753	0.756913716207623	0.618120089780852	0.751171033220679	0.691397715057127	0.657035345017651
S13	0.392518942673872	0.706532926039336	0	0.472764716289654	0.373720771040082	0.367619472852245	0.468171456184366	0.365751774801469	0.394884768105445	0.333585611796902	0.684466430846209	0.503424089646613	0.537122792598682	0.481891712010244	0.563692119920022	0.503503632153651	0.524577061724874	0.701813450083659	0.647351691051419	0.44953162311174	0.44054371592385	0.554487224949237	0.628725284816701	0.523550402828405	0.602130732088366	0.59173259751504	0.664968476005853	0.493789393569909	0.463749016236929	0.546323925470206	0.489695136144073	0.47002462050002	0.479961621961169	0.433533711355503	0.574125901868073	0.40177980575942	0.477233057696629	0.421727324254584	0.491592632955416	0.431591868407269	0.365194836684237	0.439241054006603	0.430664193577834	0.410128277551904	0.404522531145217	0.370625667337248	0.412599272787333	0.475132187078559	0.515181837909643	0.564159540732707	0.390645822469466	0.479352323200067	0.458165874761894	0.484209620132902	0.497618631784482	0.479420733673427
S79	0.520272080431023	0.590012736086476	0.472764716289654	0	0.485943519728084	0.44434461488178	0.420028766671263	0.473622830899073	0.531437238220772	0.513343783698527	0.556205708278002	0.431061121980181	0.416653392629823	0.495618296318555	0.511947487700155	0.462356779671727	0.429455553986866	0.583222280710641	0.54885405654193	0.481362097815874	0.543483820288468	0.478691880857898	0.563727960685443	0.462756650928296	0.506482641446712	0.477861006883734	0.517225858257538	0.430015171919918	0.502236479206044	0.435649159485874	0.442273187499464	0.41334431482483	0.581665516799976	0.521805039597323	0.513691489045684	0.407609888067638	0.554149005317651	0.490388965411116	0.472112999852519	0.482866828692383	0.414455581960022	0.548418354294369	0.549720373688591	0.432857394218116	0.491572688747128	0.467548893026265	0.521926034389679	0.528694492856817	0.429283868853992	0.475887816515277	0.443190600718149	0.624455845386254	0.442715835764051	0.529004247752993	0.426457985941152	0.423318816141926
S20	0.41607008184013	0.665858733659597	0.373720771040082	0.485943519728084	0	0.47648246511503	0.545507907413549	0.447241558167859	0.453390486348174	0.434111152622778	0.686996320404992	0.523989951849456	0.550052032838497	0.560195708085938	0.57152624198448	0.495305885242419	0.602155189128095	0.686477954751191	0.605704801158866	0.398086791682362	0.480730261340817	0.567270444063237	0.579487420876347	0.48034068004684	0.539906170595949	0.598408405078829	0.632305503451401	0.459827931429944	0.479199202058557	0.532094331859091	0.427297794493225	0.432603862794461	0.486150414135864	0.409832475170436	0.565033918938354	0.383464788973155	0.353219297333465	0.465529680808436	0.491009468836276	0.415619603072881	0.423612692428867	0.419810768011912	0.422948455390239	0.412456094551007	0.401046656475399	0.406996460731273	0.395580683353763	0.475565171815371	0.486698950723185	0.61029688791633	0.396826499147615	0.501551001758764	0.379499464979121	0.531356549809535	0.484061942378392	0.460859364908264
S91	0.4747455915482	0.69258719395433	0.367619472852245	0.44434461488178	0.47648246511503	0	0.454861406333209	0.389239541439115	0.374131812205511	0.432642552083487	0.664746146648952	0.510724758290168	0.509218408962455	0.475478689450894	0.62741866177344	0.458756220810139	0.456405788474791	0.712034114872795	0.651401280749153	0.550762362383223	0.452739327864686	0.537481842275539	0.68450316051107	0.571998223666962	0.635331898607678	0.591485117870636	0.634570750935664	0.500729226637903	0.40798616213317	0.558860602766567	0.545389161598551	0.459802129730697	0.4839501893893	0.49547856907104	0.546765414980786	0.392752346020164	0.505692414818577	0.434418583660786	0.497677499865245	0.483005678810357	0.387157878364968	0.513064485543294	0.451254347908741	0.417322104854492	0.446119858090683	0.435953552665335	0.510706582582225	0.53770837788521	0.554844162655632	0.522390798293558	0.377113137285014	0.539165027726397	0.459600536716796	0.466997255739756	0.452386705480965	0.515938866144904
S78	0.549946788814279	0.609560298115482	0.468171456184366	0.420028766671263	0.545507907413549	0.454861406333209	0	0.513444633481942	0.551362744894497	0.48676025659123	0.596371340595419	0.528495039838827	0.479125823525986	0.415511656947748	0.561102286673828	0.554408504939397	0.485155938358383	0.61186587174618	0.664328914966384	0.566853069172676	0.603315709259693	0.491591931886318	0.648324469934273	0.571670010480901	0.571373038386944	0.594338839581761	0.582859392549784	0.53881902777431	0.572548466345568	0.558975281950264	0.558284277557231	0.461481017706221	0.552694283142462	0.588688837678889	0.568232275089485	0.518108820620957	0.626446809018942	0.527768582775025	0.451881344168615	0.571119022703076	0.5235740805891	0.592150898030382	0.562959814953354	0.522790604169714	0.546583218158562	0.526641276391208	0.48359697526706	0.484774827291524	0.565007412720028	0.442801564999569	0.514418097748768	0.611493986881797	0.515491430470324	0.443166355583976	0.534421378387814	0.54490050097592
S26	0.398687400279659	0.7131429449565	0.365751774801469	0.473622830899073	0.447241558167859	0.389239541439115	0.513444633481942	0	0.450578936502739	0.453382632360334	0.700148046163243	0.516319198196072	0.548646492634543	0.529199901222985	0.62453661551306	0.481874786567801	0.52971091881867	0.719263634416132	0.652220073824732	0.492579779137011	0.442620668754937	0.561741588890252	0.644597737600448	0.540805002321307	0.625934842507044	0.603744926672764	0.680224351492927	0.494216427435954	0.489121424059649	0.555508314582868	0.534255020565062	0.497686450629935	0.520890887607112	0.406728826849772	0.597351978982812	0.416156808086952	0.488906158786862	0.436355068106812	0.525099639644479	0.371150089061768	0.368131528872548	0.40368693675232	0.478714958020562	0.447063695940057	0.390120750793787	0.328417657286178	0.490120461820725	0.527464446759577	0.536110942204826	0.568263911002988	0.457874156333168	0.504516144762888	0.487487743168882	0.490668740363979	0.504678576660454	0.486882999238897
S53	0.518416963695521	0.732063191657256	0.394884768105445	0.531437238220772	0.453390486348174	0.374131812205511	0.551362744894497	0.450578936502739	0	0.437747420083898	0.730547088473032	0.582602573727847	0.58037107578098	0.561197817166501	0.678771967330943	0.531331250910493	0.53517825837471	0.75440458477331	0.720342857665198	0.565335214377158	0.45794703547686	0.649612484859396	0.724822305269962	0.622735552604878	0.662040113113949	0.670883304285674	0.715755060217009	0.54925378410914	0.4138039335455	0.627397910070251	0.589015116244149	0.545533367116783	0.55500511951087	0.532493188843755	0.584302002844093	0.451166449564892	0.502159096241205	0.402372590863304	0.571156933115015	0.534603434623993	0.436707931260895	0.53657190650195	0.362056048192868	0.408191908546813	0.483226923435444	0.46224027328706	0.534230110992937	0.571908101888974	0.647995971744326	0.643745933426037	0.390507525329144	0.579529343045164	0.462664740279282	0.53891254597216	0.495188885828239	0.549896372238432
S8	0.41239270612731	0.67823004184737	0.333585611796902	0.513343783698527	0.434111152622778	0.432642552083487	0.48676025659123	0.453382632360334	0.437747420083898	0	0.682769512918084	0.552155795682587	0.574667189905527	0.512630429227399	0.561948303588683	0.574283398653012	0.5725205793647	0.67839562053149	0.643942440559319	0.420152147676582	0.546062554769636	0.560097334985005	0.613164405830895	0.535200544524341	0.589844475796597	0.623284320631891	0.637034924228857	0.52200055266239	0.547113105936898	0.608062640527991	0.50621426655377	0.482028329497462	0.537184140062941	0.48820609101732	0.555398561972976	0.480292790294248	0.523975804041318	0.41962557992819	0.489868266060727	0.509863832180017	0.433934716184188	0.526268455401625	0.437380283502234	0.433363830342025	0.459698138819837	0.44226455723732	0.426934492636109	0.48555473069703	0.535534012486135	0.583739814392854	0.415001042977046	0.555477830529678	0.52092243608632	0.513704058945056	0.546058092606838	0.559449930359549
