#SampleID	BarcodeSequence	LinkerPrimerSequence	Group1	Group2	Month	Day	Subject	ReportedAntibioticUsage	DaysSinceExperimentStart	PH	EC	CEC	AK	AP	AN	NO3-N	NH4-N	TN	SOC	C/N	DON	DOC	Description
S2			Control																				
S7			Control																				
S8			Control																				
S9			Control																				
S10			Control																				
S11			Control																				
S13			Control																				
S14			Control																				
S15			L.animalis																				
S17			L.animalis																				
S19			L.animalis																				
S20			L.animalis																				
S21			L.animalis																				
S23			L.animalis																				
S26			L.animalis																				
S28			L.animalis																				
S29			L.fermentum																				
S31			L.fermentum																				
S32			L.fermentum																				
S36			L.fermentum																				
S37			L.fermentum																				
S38			L.fermentum																				
S40			L.fermentum																				
S41			L.fermentum																				
S44			L.salvarius																				
S45			L.salvarius																				
S47			L.salvarius																				
S48			L.salvarius																				
S51			L.salvarius																				
S53			L.salvarius																				
S55			L.salvarius																				
S56			L.salvarius																				
S57			L.reuteri																				
S58			L.reuteri																				
S59			L.reuteri																				
S63			L.reuteri																				
S64			L.reuteri																				
S68			L.reuteri																				
S69			L.reuteri																				
S70			L.reuteri																				
S71			L.reuteriAPS																				
S75			L.reuteriAPS																				
S76			L.reuteriAPS																				
S77			L.reuteriAPS																				
S78			L.reuteriAPS																				
S79			L.reuteriAPS																				
S80			L.reuteriAPS																				
S84			L.reuteriAPS																				
S87			APS																				
S88			APS																				
S91			APS																				
S92			APS																				
S94			APS																				
S96			APS																				
S97			APS																				
S98			APS																				
