	S14	S71	S13	S79	S20	S91	S78	S26	S53	S8	S84	S28	S76	S31	S69	S94	S75	S77	S57	S11	S96	S47	S68	S40	S97	S80	S37	S58	S98	S63	S36	S45	S2	S15	S88	S32	S21	S55	S70	S19	S23	S17	S51	S56	S10	S9	S64	S44	S41	S48	S87	S7	S92	S29	S38	S59
S14	0	0.661068850895709	0.572283704303504	0.614733630153643	0.592777319992653	0.585964112137169	0.596043307721363	0.580813611061805	0.591558241853638	0.568842753923235	0.661786648148585	0.60623244899315	0.628453773267802	0.592489846555157	0.611572032601607	0.623696748626027	0.605009144659773	0.654969013757194	0.635459743014162	0.575857116685138	0.623600618665634	0.615900420409362	0.607753078512313	0.609292310591842	0.648332656412468	0.627492767958821	0.650567293688044	0.602893883122044	0.611518834687797	0.621851221476137	0.607667019862303	0.60078546810723	0.606119937888362	0.587330703870943	0.636326784632401	0.603015099126689	0.633511850768372	0.591303679274333	0.589712836823846	0.600193058641769	0.585416205943019	0.592865702556395	0.613497533770218	0.586952668378225	0.588815564097693	0.577671766513009	0.585980986097198	0.600788844562579	0.615633571737695	0.618254222958964	0.600381172963411	0.609113356492778	0.622690162904513	0.58620104097341	0.602970437863136	0.613160692000041
S71	0.661068850895709	0	0.680370962974459	0.623682007594827	0.654354682945784	0.650232079363983	0.632334216059925	0.665357555042058	0.665326242234604	0.667582608021431	0.581360960295844	0.614868498876071	0.590930641763243	0.670611622461151	0.625939353520682	0.649907545470276	0.642655042791732	0.571219290659668	0.622379635525895	0.634502174117054	0.699914940631092	0.626634251755808	0.633314801405843	0.62901817196282	0.593481962220928	0.624238389221747	0.58174964585997	0.631658792718454	0.654026526313737	0.643269055890326	0.642374685760581	0.641506685807869	0.672697859952419	0.64609724074169	0.5967205830842	0.656540096143084	0.625033436851734	0.65644917148795	0.635102690746176	0.644928379196621	0.630329183500316	0.63828042543736	0.654114110382618	0.655349643630422	0.62521434021966	0.645734065439527	0.667142767237629	0.64699286342748	0.632723137980716	0.640613601819436	0.627889715966189	0.662453430274199	0.640245272746918	0.673518811714244	0.647296949372686	0.639152183073452
S13	0.572283704303504	0.680370962974459	0	0.621609434079173	0.59111364589323	0.584778940955645	0.606188602498219	0.56887278175356	0.573321522134293	0.56440453502816	0.673387900916952	0.62690871660905	0.629061298250513	0.586757366157341	0.625950496844194	0.615254558603759	0.599656730680524	0.675378441849087	0.646987424232116	0.587662452557826	0.596033855576161	0.633819439876371	0.629487165826993	0.61902627106963	0.652470580450632	0.64385675737407	0.674093896912183	0.610488102031922	0.607245808626177	0.625008490280984	0.611860227973905	0.604247514389237	0.60328776413369	0.598881679102172	0.648341266909179	0.60445661774939	0.63122054765338	0.586257874654856	0.60091477852706	0.612087435711192	0.580142439776284	0.602697205873937	0.607976913952702	0.582363113127097	0.594578905163161	0.580728510261986	0.569912301225367	0.594140652928763	0.621766447499252	0.633561056624651	0.594538936422824	0.601503135905415	0.61197964327362	0.595262713383642	0.615595999950378	0.617511994371611
S79	0.614733630153643	0.623682007594827	0.621609434079173	0	0.622051368213432	0.596957808581437	0.576625348862433	0.606819535931228	0.626017481817286	0.627590635165847	0.615870313404154	0.593854170714434	0.583612790514068	0.597081969487361	0.589119480079953	0.59931857527627	0.579571833132391	0.612127150928686	0.60564868195762	0.604345721518515	0.641363910715614	0.600798699788816	0.59819757796107	0.594598801456107	0.604983403861842	0.586296798754112	0.60734135995305	0.593828928664903	0.616617164422071	0.598906857561171	0.582364371719212	0.587836401841672	0.633573845413485	0.598793414878142	0.62780562506327	0.594498222673799	0.645641038746336	0.621119253397904	0.59049478672089	0.605949487557198	0.594548617242657	0.617673613091023	0.648903253859912	0.610346421326542	0.61713063026176	0.604379875196057	0.617670434015269	0.60404818945994	0.580984681701271	0.603333239113685	0.593641490934737	0.62909563838884	0.618193293306216	0.605197204904597	0.589950103048053	0.593843725634892
S20	0.592777319992653	0.654354682945784	0.59111364589323	0.622051368213432	0	0.597278588378956	0.623506947201642	0.589929617944582	0.588532347881856	0.60121554210745	0.667375019722152	0.636386952320579	0.629673923291525	0.614001335889558	0.624849617034555	0.594107677664943	0.620699945295464	0.660783268426663	0.636019816114889	0.601449363925846	0.608263823356316	0.626123292702026	0.612385727654839	0.620691451671075	0.635661769945824	0.645809450465808	0.667633160242157	0.600238558174888	0.596207630826635	0.626785368313143	0.604431226307912	0.594128265614437	0.610535339487472	0.60455365830854	0.645697063915971	0.591709253046564	0.593611421071269	0.591779295660335	0.59485945114595	0.600122816099326	0.59395707443604	0.586096578184213	0.603513659778536	0.581083989102041	0.599967806718877	0.592555029377849	0.580879388487763	0.589032623996618	0.626339920341969	0.627663586517058	0.591606651861832	0.609372834129327	0.588605511007374	0.598537466628169	0.610857393621333	0.609174439589088
S91	0.585964112137169	0.650232079363983	0.584778940955645	0.596957808581437	0.597278588378956	0	0.594369528618868	0.578482250159142	0.586071099803006	0.579977705418677	0.649493599726289	0.621790001994109	0.61376897132136	0.597589390113718	0.618238881790851	0.602432874837224	0.596048391959221	0.654174143473015	0.631491239447748	0.607022095586439	0.609080426066102	0.618930283794568	0.629719009853832	0.602228857548449	0.615051317574456	0.638735145059293	0.637230737447875	0.607123518492569	0.587758776856699	0.614584885733465	0.597958494512853	0.587890041631415	0.614941596342207	0.601595380476353	0.611172965517396	0.601758621908641	0.639525520151483	0.581765733741354	0.598046849102209	0.62155001264383	0.588908396341239	0.614968944039615	0.616246086262125	0.587270043059037	0.595024382872529	0.591345969443104	0.590695996051802	0.581754080621216	0.603668336748629	0.619073188155627	0.561659893811509	0.62023088970592	0.59438680950135	0.598814664605179	0.594242063789397	0.62361973099475
S78	0.596043307721363	0.632334216059925	0.606188602498219	0.576625348862433	0.623506947201642	0.594369528618868	0	0.605592222306752	0.620506372878325	0.607529900194711	0.628465372382818	0.611883584382272	0.591632900703023	0.592501341733953	0.578940343374202	0.622810429989011	0.580765687185676	0.612484805979803	0.634815773979234	0.605920298848583	0.639790344915603	0.597137090884942	0.609225773147788	0.607755394216935	0.624546164590919	0.616803427274058	0.625530787490012	0.611311360477201	0.619738228655468	0.615892446763753	0.608691507561206	0.590814988472628	0.623469147302768	0.613872363812065	0.621013510088434	0.610156008228422	0.638788464070571	0.616627193743611	0.589981793728256	0.625740078621995	0.60640978652204	0.618091863154596	0.643923642750989	0.620072867878486	0.615064979117641	0.604732596607448	0.596679191582054	0.595434694227889	0.612435214966336	0.601457947178883	0.59898148329112	0.618475583192059	0.617134171665082	0.590377128534733	0.615765590531523	0.617760434099355
S26	0.580813611061805	0.665357555042058	0.56887278175356	0.606819535931228	0.589929617944582	0.578482250159142	0.605592222306752	0	0.594908344474795	0.585263941435055	0.672189694677736	0.617655041768402	0.62539467259558	0.583267046293203	0.627592209454705	0.605316829062231	0.591624708450683	0.668143461333804	0.63314570019998	0.587015558371571	0.603474422743955	0.623471217515149	0.617317164801247	0.606749508924083	0.640678318513896	0.631142109673423	0.663755191818444	0.601218520910323	0.602986608036748	0.617024427552215	0.607904820527118	0.597729626492016	0.604510599873395	0.607359775573372	0.651501307579049	0.590529731867764	0.637302917023407	0.591964888619942	0.60242471949279	0.591026940763548	0.577249871699276	0.598345864114367	0.607086463649141	0.583641421053448	0.596695734369858	0.572054174874689	0.58813103280948	0.594294931022919	0.61246638993638	0.625690392168085	0.595320077309715	0.606323444692492	0.604398021754416	0.59375500664007	0.608520521596851	0.597588268679228
S53	0.591558241853638	0.665326242234604	0.573321522134293	0.626017481817286	0.588532347881856	0.586071099803006	0.620506372878325	0.594908344474795	0	0.578137816491067	0.675506403330054	0.637089122516777	0.638822245327746	0.617059926171204	0.641025428409694	0.617257488280323	0.630765000758408	0.672669996445241	0.646612921909631	0.610553619974475	0.585149685356021	0.643062386940009	0.643090762425213	0.634450173581999	0.643180781210391	0.663318620717306	0.662656279931929	0.618678870875973	0.601555468159684	0.651018475437739	0.62224726753779	0.611752245296357	0.607131946917011	0.605993011305976	0.627828771357771	0.606304544337269	0.613976045704311	0.557754096210667	0.609421944062577	0.628964948837672	0.594137488846814	0.613604764380193	0.578680499171297	0.566590726932211	0.603414391733409	0.591456456192668	0.579732564810236	0.604674392643775	0.641068062328678	0.650701449221332	0.573545045419289	0.610549688661582	0.606063700695067	0.608650190359856	0.61943909846	0.626285974897906
S8	0.568842753923235	0.667582608021431	0.56440453502816	0.627590635165847	0.60121554210745	0.579977705418677	0.607529900194711	0.585263941435055	0.578137816491067	0	0.668553047585225	0.630386025165372	0.641160925989331	0.599489168472649	0.633130531305225	0.637693126966709	0.615123268574689	0.66890240253915	0.644191242908448	0.587641175851014	0.607649611786906	0.637426621304812	0.629799027434021	0.616867799942194	0.654225939520273	0.647391380694369	0.665212490041294	0.610928975543428	0.616693965672053	0.643013994478698	0.618676144376639	0.615757502839712	0.610683211263194	0.60797028841796	0.635718029639128	0.611231384947231	0.637827024014969	0.581041275871636	0.605661630721303	0.615146141076416	0.593439014450789	0.61197917771718	0.594315008179733	0.581512946161623	0.595295081942578	0.576700115041248	0.588451971847113	0.603149528165087	0.628902771311155	0.635338787663958	0.589382167843875	0.612338440132109	0.619826930434086	0.602784090498967	0.617625244545663	0.624697318571031
