	S14	S71	S13	S79	S20	S91	S78	S26	S53	S8	S84	S28	S76	S31	S69	S94	S75	S77	S57	S11	S96	S47	S68	S40	S97	S80	S37	S58	S98	S63	S36	S45	S2	S15	S88	S32	S21	S55	S70	S19	S23	S17	S51	S56	S10	S9	S64	S44	S41	S48	S87	S7	S92	S29	S38	S59
S14	0	0.345401099111009	0.0966846507587469	0.169575491065172	0.110024008614374	0.103595703374294	0.156847670733317	0.0776578376805121	0.150970080853734	0.1161830962098	0.339224171361721	0.205858320636174	0.221408020973601	0.147630375174986	0.197033430043463	0.157100410719808	0.194716325871762	0.360357163925966	0.259546576535976	0.0992522171603313	0.137393412778299	0.184190055767126	0.216703646204669	0.193773609818291	0.227260701781167	0.256989336510913	0.284475529410918	0.176492201731442	0.140599824818354	0.211843915803176	0.152448030620703	0.143418728419648	0.115266521933468	0.089457274951403	0.254087941651258	0.104512288902698	0.134384282224389	0.148621881068845	0.156433359040402	0.107698198105195	0.09553193220934	0.124433641684366	0.139044681058347	0.135347008469155	0.0932977623780455	0.07779767519086	0.131342571862726	0.155097517714117	0.208857164342892	0.183093965619988	0.13169562429692	0.0890463428763933	0.161501728656577	0.150324730911858	0.170888594831496	0.183234375568678
S71	0.345401099111009	0	0.351628934963115	0.289016518788029	0.332892242692386	0.312818392584883	0.293815021357504	0.347290438151733	0.351061151817999	0.337162629832612	0.101058910542327	0.269269764797766	0.181993739711144	0.35216821860113	0.269253043430055	0.308329275610016	0.350723176971438	0.115088964332228	0.224248677475223	0.317380899682313	0.38432058565841	0.279389892495362	0.304586348511876	0.317675318179376	0.171284110096992	0.303472792085639	0.159998964887812	0.260145557417881	0.30943223309994	0.301740427539486	0.300263596665273	0.290908681660234	0.33032952925806	0.332563159574834	0.175935745227746	0.332392430085925	0.300087091840363	0.308420970989337	0.296077242653143	0.364536599995726	0.336453295221548	0.365214222075458	0.343395493290358	0.32452857608032	0.282364822635145	0.362027592206829	0.338423037623923	0.313504439248597	0.330692809586243	0.285374557833431	0.306377151050265	0.336963353405873	0.28926311550959	0.33797975980724	0.317082987701965	0.311826059711335
S13	0.0966846507587469	0.351628934963115	0	0.145270705738206	0.0824292052112887	0.0658415864556232	0.125354858963617	0.0792173710054213	0.0926869370621461	0.065474874416167	0.334959849528724	0.195097598880893	0.209289609645474	0.102437570155157	0.177936006945485	0.125465240973209	0.158714508474338	0.355921379587316	0.252875553822794	0.110247762937681	0.100907366838018	0.169811859322835	0.195875235824286	0.16645646026564	0.21665057276117	0.243552868458421	0.286829108664812	0.146715560035053	0.101427502954354	0.178097802212687	0.125328902175595	0.119353798427608	0.0989092532214123	0.129797027898421	0.254536443167863	0.0820903972395809	0.168964229723591	0.11722730341401	0.128346601621025	0.147048711414592	0.0957047557084314	0.158343187100575	0.0965834545843565	0.115941651391962	0.140289944227221	0.106534053523805	0.0778894969052208	0.112335826607654	0.184933419825469	0.166995436293703	0.0840083951549352	0.121485832162171	0.11872266028134	0.118552252206948	0.138092782242694	0.135905620813086
S79	0.169575491065172	0.289016518788029	0.145270705738206	0	0.155746315246755	0.126812808021813	0.130533049428767	0.15790988178213	0.164660062914768	0.142985666115994	0.26560190202251	0.120143599457542	0.156186808120338	0.131243566684839	0.106741244307744	0.100466009044363	0.109595910137799	0.299456618282929	0.154702541831309	0.10625410164233	0.192475169002629	0.109580472253078	0.104921182769096	0.083155843029676	0.161297010405732	0.143204227907458	0.195849547849801	0.09080995111601	0.11645700463141	0.090671342119519	0.0699374821020661	0.114371917023008	0.155924763403394	0.171299241244275	0.193465870307308	0.118023695567777	0.20103226052097	0.119718360726608	0.100553108187538	0.162052413787915	0.118242058751883	0.224646602909194	0.17568549006289	0.119118754606687	0.164981300222307	0.181761661634566	0.144817517310599	0.139948838214239	0.108487995843123	0.109271712705467	0.116590347621657	0.180450749347694	0.117565370617176	0.137966684429395	0.0808898542471913	0.0884679338926871
S20	0.110024008614374	0.332892242692386	0.0824292052112887	0.155746315246755	0	0.083524098979227	0.159841802259521	0.0958689632436877	0.0880800417276519	0.111201471565332	0.343418551814923	0.205846258560169	0.221120614824266	0.144377099627679	0.205935781599896	0.118289762520504	0.189299427842376	0.363797634491034	0.255906322338194	0.113957920031851	0.0960623670386268	0.192957986952228	0.197103048117916	0.177325124716755	0.215435133908577	0.245598723291254	0.290658506465982	0.153667392248439	0.0886991133801196	0.191493480380321	0.131987326602771	0.114550127124403	0.0911687051895191	0.133459330274647	0.237356914636034	0.0751679996384846	0.1311602625254	0.123242788240636	0.149880085895643	0.150164165647434	0.105081493804711	0.157724895975947	0.0901466782119402	0.101642156178912	0.121271736237965	0.121011237644386	0.102107233015855	0.137292181803046	0.194258683792314	0.192562920918268	0.0978000789673459	0.135236292646888	0.0911891211244694	0.142426765356263	0.148805315998085	0.151227711880646
S91	0.103595703374294	0.312818392584883	0.0658415864556232	0.126812808021813	0.083524098979227	0	0.121946766648973	0.0908615584862731	0.0877175748676613	0.0864705714832905	0.319209164432243	0.182530516303078	0.199780521357374	0.114949587553659	0.171837294560652	0.0948983086767979	0.156238981928926	0.340181499329512	0.233148761358933	0.113742588194691	0.13448383751215	0.155052712991671	0.180272377159145	0.148058490648822	0.192744240981205	0.230396518650558	0.264083138224892	0.129076483181122	0.0879625625494624	0.165256156681287	0.109416337668275	0.0895099143781072	0.0922399740654154	0.139972137030069	0.214856374769375	0.0768147162476144	0.165880145569937	0.0879129464747343	0.119821774157757	0.160206955258184	0.105226660704953	0.16643599243143	0.0864827990749086	0.0986778758627168	0.126198723316572	0.134028843732403	0.0807845208967552	0.102203253300627	0.165287668981247	0.152950288098074	0.0717022094381021	0.121883770426685	0.098034481227093	0.115499827522246	0.129718782558797	0.134458051294398
S78	0.156847670733317	0.293815021357504	0.125354858963617	0.130533049428767	0.159841802259521	0.121946766648973	0	0.15655468907357	0.156243843976537	0.115864713221676	0.286777307779476	0.183888186430625	0.172893824553662	0.102291924079098	0.138303039341474	0.139920274436193	0.164585507677116	0.303566716010027	0.226871300628068	0.157916493380321	0.19436427250909	0.115727703951058	0.184399494857554	0.163557820750905	0.17513434364239	0.219154218736931	0.241296337696519	0.125271317686936	0.13309585306832	0.173425726183335	0.148362747347315	0.106427379664423	0.15304372288156	0.17160062734504	0.213386805327911	0.152109172971827	0.19658463175658	0.134458100669525	0.0990128993136945	0.210732723441582	0.16138361310681	0.216772738315991	0.155105163740869	0.147086649677455	0.160882148474661	0.180778284861033	0.0994930665172336	0.081908263577137	0.203739057473369	0.112409587980573	0.123923479385398	0.159384570116051	0.119032287857236	0.129771828826613	0.156158293065433	0.149755644585217
S26	0.0776578376805121	0.347290438151733	0.0792173710054213	0.15790988178213	0.0958689632436877	0.0908615584862731	0.15655468907357	0	0.127944832075773	0.119215316758595	0.34017500075022	0.197798081887051	0.216964599564391	0.140527669308426	0.197866259493823	0.126017540041047	0.178882542380274	0.358076985009867	0.253862998750572	0.110181701048384	0.109261161066718	0.187743268039167	0.204733261012642	0.172818517775009	0.216489841459193	0.24773187711166	0.289259692111796	0.1606626178261	0.123866302351037	0.191118772742332	0.141624642864302	0.144928230101184	0.115084443207649	0.11374750627406	0.253919383519826	0.0995731991044071	0.142942920719591	0.118936135943494	0.160439927885106	0.121224200948916	0.0874325017937842	0.132706636931499	0.127665163309969	0.132949752933756	0.106608873366965	0.0887983228689259	0.112621664154024	0.142405243369409	0.189306966693223	0.187720770348576	0.111756420787928	0.0952736407726474	0.142911822364684	0.129325298946203	0.157988835822105	0.153042775367488
S53	0.150970080853734	0.351061151817999	0.0926869370621461	0.164660062914768	0.0880800417276519	0.0877175748676613	0.156243843976537	0.127944832075773	0	0.0991026468133412	0.364491099055822	0.220115120876723	0.237895160059043	0.145202485412525	0.215923881092978	0.131236280964799	0.181697711043683	0.386989122188566	0.277358892699175	0.155544831101538	0.121697172320409	0.209001214712517	0.216571149594391	0.191104531600034	0.229750628968397	0.265615385260058	0.310399360819267	0.165019977176718	0.0928713487220145	0.198704474694834	0.143900929092058	0.126835884986773	0.130975503981317	0.168117995548761	0.249057129253264	0.106185560034369	0.168638167245408	0.103368748617152	0.16558615756558	0.196417947349153	0.134227669298939	0.190937142627445	0.0650898150311123	0.10514067546854	0.165413057344386	0.158449180852293	0.113660625041736	0.139917307843219	0.21113567036826	0.205228013368955	0.0884940807598471	0.166914320065789	0.102855543907254	0.152341099238303	0.161883145211768	0.16067687922946
S8	0.1161830962098	0.337162629832612	0.065474874416167	0.142985666115994	0.111201471565332	0.0864705714832905	0.115864713221676	0.119215316758595	0.0991026468133412	0	0.31764818676266	0.193768571534817	0.202973438253317	0.0934520371820571	0.172994037831197	0.134991893050897	0.157382114134925	0.34366577206761	0.243535931827772	0.115321080101816	0.141012328711879	0.155768159106822	0.191770127402415	0.164260701638073	0.205276384279395	0.238180531776027	0.270072645733322	0.141559270627134	0.105476373082325	0.179354478205234	0.121801646343342	0.117850275575506	0.117749382383856	0.149893908310543	0.242090043091837	0.103833324115212	0.187440899796935	0.114089195481075	0.110267278995099	0.172390776961352	0.117679590782238	0.191621404243572	0.103141545360454	0.115982971101837	0.157263176559949	0.137486883185859	0.081312854428929	0.106310474410078	0.185886744933043	0.151249430062744	0.0840470139316776	0.150523652704608	0.12718198452118	0.116516331357205	0.139276233430804	0.144636717780706
S84	0.339224171361721	0.101058910542327	0.334959849528724	0.26560190202251	0.343418551814923	0.319209164432243	0.286777307779476	0.34017500075022	0.364491099055822	0.31764818676266	0	0.241636097967223	0.1581493541312	0.332481487347778	0.24461490712541	0.309776746150474	0.327258087224304	0.105882773926717	0.195428321737579	0.293029766130388	0.368557708211902	0.255070293587259	0.27987469597266	0.294399241791888	0.164709316717891	0.266875260711055	0.13652699175515	0.235347964297913	0.299088146295147	0.280535541498303	0.279427528736273	0.303163291424726	0.342551660612587	0.312224335793063	0.196144492566102	0.327707648292425	0.318516608613304	0.317652921587927	0.280467987703456	0.341543594298977	0.316042283534831	0.35825178239744	0.354858134304217	0.320040492204192	0.284822187564905	0.346225948503423	0.337143408371097	0.310866636759189	0.308566039254852	0.260792351435127	0.297596311769216	0.330050198877452	0.298450961563379	0.328584106093215	0.295264398197413	0.287287411285983
S28	0.205858320636174	0.269269764797766	0.195097598880893	0.120143599457542	0.205846258560169	0.182530516303078	0.183888186430625	0.197798081887051	0.220115120876723	0.193768571534817	0.241636097967223	0	0.144756304954363	0.198367522991213	0.0999630283548053	0.177435232203801	0.149473034551903	0.275088916780661	0.144468078903225	0.142799804027388	0.234263279464022	0.126808154559216	0.120275704607999	0.120228871498326	0.148631957907311	0.131856357978218	0.180449243731974	0.146848668620272	0.163132131879984	0.136454897472956	0.148922390691138	0.17292375229266	0.209910716229744	0.196866229319536	0.177882456325112	0.192166618963958	0.20961779867909	0.194387851755909	0.17592716859586	0.162029896811405	0.148340955285772	0.252789678443682	0.216783160001396	0.185419279273581	0.171978514215716	0.217539851317597	0.205818428524288	0.207150736434292	0.128954776912532	0.132371306084953	0.172101515732604	0.212101115969363	0.175932676097739	0.206683585828978	0.14170664587001	0.143971394987679
S76	0.221408020973601	0.181993739711144	0.209289609645474	0.156186808120338	0.221120614824266	0.199780521357374	0.172893824553662	0.216964599564391	0.237895160059043	0.202973438253317	0.1581493541312	0.144756304954363	0	0.215662835851111	0.152893684388928	0.194041926527643	0.215371289610793	0.178289511300168	0.146165428349014	0.183825926757018	0.245411926575424	0.162810350191153	0.193318173738993	0.18711982814662	0.0883369370929819	0.204482831555447	0.133076846201678	0.148348597885297	0.186286194461323	0.195003580351605	0.173120751236299	0.183009799553778	0.227326717713654	0.204512095048003	0.15663672459485	0.210609147505457	0.21037844127575	0.198239245330366	0.181355175360171	0.2263288392166	0.198452989037827	0.252016709666989	0.235646874580705	0.204377898655696	0.179019674148232	0.223915200049839	0.21113906770275	0.204021972191612	0.218887595642767	0.170898125973459	0.177444877328104	0.213134351893802	0.175540007190142	0.221514101017109	0.181358080148413	0.179752526743885
S31	0.147630375174986	0.35216821860113	0.102437570155157	0.131243566684839	0.144377099627679	0.114949587553659	0.102291924079098	0.140527669308426	0.145202485412525	0.0934520371820571	0.332481487347778	0.198367522991213	0.215662835851111	0	0.159269924787388	0.134591795856119	0.147323568499517	0.364912212569053	0.232421167190747	0.143339146325481	0.167278106132739	0.13309373879964	0.18039506408361	0.15512664740739	0.216823930976639	0.229914176475781	0.275993156205351	0.143206530730915	0.125927002952881	0.159636247237072	0.112603045852324	0.116672563743503	0.136508496936671	0.177781997153917	0.258118283517299	0.112632072289262	0.232761421849814	0.129418890888937	0.106258556840305	0.183836374509452	0.135832766619552	0.222173160735881	0.14509224813051	0.131808804744744	0.188139989965547	0.173846397294161	0.0746676235946117	0.0857466400667581	0.182657144437674	0.125630658167169	0.121717358625796	0.166830854432283	0.14256088925565	0.109047678953604	0.122718982685734	0.133236538699421
S69	0.197033430043463	0.269253043430055	0.177936006945485	0.106741244307744	0.205935781599896	0.171837294560652	0.138303039341474	0.197866259493823	0.215923881092978	0.172994037831197	0.24461490712541	0.0999630283548053	0.152893684388928	0.159269924787388	0	0.172223716459792	0.129002125693375	0.282813895810465	0.145091954506622	0.139395753860135	0.237342626182481	0.091708799606879	0.101673491111254	0.10858022534986	0.156040749742286	0.12461415485585	0.181350102454818	0.116073157373335	0.173619722176409	0.107381624924094	0.135263369651719	0.145258393741882	0.18332860081495	0.201705310876699	0.177676414646551	0.18533392741186	0.216945764681406	0.173834355818586	0.129594504459069	0.176299291900638	0.158574962501239	0.259651776222932	0.206807743058301	0.185675743859068	0.184625042776293	0.227439593011804	0.172529736421628	0.153353954533314	0.133363867932489	0.0973272019956128	0.167085316404193	0.190012662081772	0.168309545422519	0.166296612236156	0.121901799921713	0.121412564285203
S94	0.157100410719808	0.308329275610016	0.125465240973209	0.100466009044363	0.118289762520504	0.0948983086767979	0.139920274436193	0.126017540041047	0.131236280964799	0.134991893050897	0.309776746150474	0.177435232203801	0.194041926527643	0.134591795856119	0.172223716459792	0	0.146878495284205	0.334474809424179	0.203702000392916	0.143293764537424	0.165607513623309	0.153533967593125	0.156952803750795	0.119282362726151	0.175524514073423	0.201919480405788	0.242569279775189	0.114268465387103	0.0872397207773553	0.130218525596427	0.0887355384676016	0.106742144203253	0.130224040604048	0.174519788613403	0.215031116527875	0.0902139982202416	0.186680035928428	0.0763878125569215	0.116414797050534	0.178108141667287	0.14402204432126	0.197967509403283	0.145662087902137	0.0973636594394442	0.159998918469104	0.166688911563196	0.105991135004668	0.110241988975443	0.142151328370862	0.151963235294197	0.0962031285838034	0.151400226691252	0.0871972298205695	0.111198032587578	0.108790373526426	0.103531623597943
S75	0.194716325871762	0.350723176971438	0.158714508474338	0.109595910137799	0.189299427842376	0.156238981928926	0.164585507677116	0.178882542380274	0.181697711043683	0.157382114134925	0.327258087224304	0.149473034551903	0.215371289610793	0.147323568499517	0.129002125693375	0.146878495284205	0	0.361111388506232	0.218643430729368	0.142167582794678	0.209137831656943	0.159557944554421	0.0911653162213823	0.0778370078635878	0.22695743382826	0.129557144005382	0.264156627798327	0.143160510333026	0.16031695061683	0.100759262157693	0.118518814302967	0.16680857959642	0.194028789454852	0.206990745501952	0.254438666832624	0.154355258007489	0.255678618916175	0.149835668427648	0.150483913979923	0.157623772329123	0.138442096001382	0.247876342618622	0.194765480107891	0.165732293916117	0.216495924975909	0.203587312665686	0.158424408857527	0.149857521183333	0.092082829780718	0.156097467192652	0.138071286293458	0.209349709371626	0.166364527650016	0.167028287495439	0.0935888953680665	0.0994769407565193
S77	0.360357163925966	0.115088964332228	0.355921379587316	0.299456618282929	0.363797634491034	0.340181499329512	0.303566716010027	0.358076985009867	0.386989122188566	0.34366577206761	0.105882773926717	0.275088916780661	0.178289511300168	0.364912212569053	0.282813895810465	0.334474809424179	0.361111388506232	0	0.254833648786132	0.32680097892417	0.388672670741393	0.288752623500314	0.32305546405076	0.32744170018881	0.202091479062854	0.312938919674142	0.202606677332662	0.274678823227403	0.325112593085527	0.320295988850425	0.321297122761946	0.330524766620981	0.369237735426892	0.339070786635489	0.255876681278879	0.358347125905157	0.342278853074712	0.339397320233043	0.31047109783147	0.373521513396662	0.346775414820093	0.377693301927226	0.378518613291123	0.348284721250909	0.309418615297305	0.367285477846066	0.355986996505858	0.334259264792672	0.34850917407746	0.295958404460171	0.32012689672192	0.354192349043264	0.319877532116377	0.358460543091932	0.330424719441206	0.320151307730271
